CampaignName,ReportName,Platform,aircraftID,takeoffdatetime,zone
2011_AN_NASA,OIB_AN_20111027145100_NASA_Report.txt,G-V,N677F,2011-10-27T14:51:00,UTC
2011_AN_NASA,OIB_AN_20111007115800_NASA_Report.txt,G-V,N677F,2011-10-07T11:58:00,UTC
2011_AN_NASA,OIB_AN_20111025115354_NASA_Report.txt,DC-8,N817NA,2011-10-25T11:53:54,UTC
2011_AN_NASA,OIB_AN_20111117115955_NASA_Report.txt,DC-8,N817NA,2011-11-17T11:59:55,UTC
2011_AN_NASA,OIB_AN_20111029124700_NASA_Report.txt,G-V,N677F,2011-10-29T12:47:00,UTC
2011_AN_NASA,OIB_AN_20111022121100_NASA_Report.txt,G-V,N677F,2011-10-22T12:11:00,UTC
2011_AN_NASA,OIB_AN_20111013123328_NASA_Report.txt,DC-8,N817NA,2011-10-13T12:33:28,UTC
2011_AN_NASA,OIB_AN_20111008134500_NASA_Report.txt,G-V,N677F,2011-10-08T13:45:00,UTC
2011_AN_NASA,OIB_AN_20111020115959_NASA_Report.txt,DC-8,N817NA,2011-10-20T11:59:59,UTC
2011_AN_NASA,OIB_AN_20111017114500_NASA_Report.txt,G-V,N677F,2011-10-17T11:45:00,UTC
2011_AN_NASA,OIB_AN_20111021120012_NASA_Report.txt,DC-8,N817NA,2011-10-21T12:00:12,UTC
2011_AN_NASA,OIB_AN_20111111141125_NASA_Report.txt,DC-8,N817NA,2011-11-11T14:11:25,UTC
2011_AN_NASA,OIB_AN_20111109121330_NASA_Report.txt,DC-8,N817NA,2011-11-09T12:13:30,UTC
2011_AN_NASA,OIB_AN_20111107115400_NASA_Report.txt,DC-8,N817NA,2011-11-07T11:54:00,UTC
2011_AN_NASA,OIB_AN_20111112135920_NASA_Report.txt,DC-8,N817NA,2011-11-12T13:59:20,UTC
2011_AN_NASA,OIB_AN_20111114125254_NASA_Report.txt,DC-8,N817NA,2011-11-14T12:52:54,UTC
2011_AN_NASA,OIB_AN_20111010113800_NASA_Report.txt,G-V,N677F,2011-10-10T11:38:00,UTC
2011_AN_NASA,OIB_AN_20111019114600_NASA_Report.txt,G-V,N677F,2011-10-19T11:46:00,UTC
2011_AN_NASA,OIB_AN_20111104144838_NASA_Report.txt,DC-8,N817NA,2011-11-04T14:48:38,UTC
2011_AN_NASA,OIB_AN_20111014161000_NASA_Report.txt,G-V,N677F,2011-10-14T16:10:00,UTC
2011_AN_NASA,OIB_AN_20111116121012_NASA_Report.txt,DC-8,N817NA,2011-11-16T12:10:12,UTC
2011_AN_NASA,OIB_AN_20111015112800_NASA_Report.txt,G-V,N677F,2011-10-15T11:28:00,UTC
2011_AN_UTIG,OIB_AN_20111109023000_UTIG_Report.txt,BT-67,C-GJKB,2011-11-09T02:30:00,UTC
2011_AN_UTIG,OIB_AN_20111114013600_UTIG_Report.txt,BT-67,C-GJKB,2011-11-14T01:36:00,UTC
